text,emotion
i feel very shocked i have never expected that would happen to me,surprise
i hate missing practice because i feel like the reps in practice are vital to your performance on sunday,joy
i am grateful that i no longer feel a frantic urge to fix the emotional upsets of those around me,fear
i know how that feels hermione said in a surprisingly sympathetic voice,love
i find when i look at things in this way i deal with the situation better and do not feel as agitated,fear
i want something that gives me a major orgasm that will make me feel so horny ill screw anything that moves,love
i feel rather pathetic,sadness
i go shopping now i feel reluctant to buy things like that even though its really hard to resist the temptation,fear
i still feel funny,surprise
i do not feel frantic,fear
i bought myself a make up palette two months back post and today i bought items and im feeling ecstatic,joy
im feeling very petty right now,anger
i tend to keep my mouth shut because im not well enough informed but when it comes to public education i can speak what i feel because thats one topic im passionate about and do my best to keep up with,joy
i feel amazed knowing that it had been even bigger,surprise
i feel very irritated and annoyed today,anger
i can t hate too much because i feel like she s looking pretty damn flawless in these pics,joy
i cant help but feel that i need to be delicate,love
i was talking to elder ditlevsen the other day about my plans at college and things and how you guys were all way excited for me to get back and he told me that he remembered feeling a little nervous as a parent,fear
i was feeling so rotten about it,sadness
i just feel like lex has convinced you that youre something that youre not martha said her eyes getting misty,joy
i know many of my readers are also non make up wearers and i know we sometimes feel a longing to at least do something to touch ourselves up,love
i feel virtuous because all day i have cleaned a house that needed the mopping and tidying,joy
i feel strange actually sitting beside some people i don t know,surprise
i do this because the worse they are the more justified i feel a needy man on the street suddenly represents a threat to my very peace and freedom,sadness
im feeling quite adventurous and tried out those drinks that i just normally read through the pages of pocketbooks,joy
i took a little liberty here artistic license perhaps and went with a festive feeling for these as well,joy
i hate feeling this loyal to this damned company,love
i feel dirty if i haven t washed my nose then my teeth brush with electric brush brush way back with small brush brush between with xmas tree brush massage around teeth with that rubber pointy thing and then floss,sadness
i was a bit more bouncier than usual i didnt feel as grouchy about everything as normal,anger
i feel slightly dazed and tired and angry but that is a normal emotion and mood for me to experience from day to day or week to week,surprise
i feel so honored to have been a part of this year,joy
i feel many readers are amazed by the many ways the whitley family has influenced hollywood and continues to influence today,surprise
i had been out of sorts and feeling a bit isolated,sadness
i was impressed with how dunham portrayed hannahs whole experience from trying to deny that its happening to feeling offended when you feel like someone is trying to minimise the distress its causing you,anger
i feel i am more blessed than i can ever say,love
i was starting to feel the kick of the alcohol and jerald was slightly amused and said he would probably see me down half an hour later,joy
i feel not surprised by where i ended up i m happy with a lot of what i ve achieved the positions i ve put myself in,surprise
i fully believe and feel passionate about living bravely and outside my comfort zone i often revert to my comfortable ways,love
i feel i am suffering from a bad case of i only want to nap,sadness
i feel frustrated sometimes with my mac lipsticks when i have to read names or open each of them to select shade,anger
i am so festive this feels so delicious wheeeeee what a great night,joy
i feel like this leads me to be not as gentle and kind as i should be,love
i feel really disgusted with myself more than the pain and agony,anger
i think i still will be when they arrive and that makes me stress and makes me feel so unhappy,sadness
im really excited for her birthday but feeling super nostalgic about it,joy
i feel like im giving them a story to tell to their friends and family which is funny because growing up i anticipated to be the one to travel and spontaneously meet an erratic person that swoons me with their life stories,surprise
i feel all betrayed and disillusioned,sadness
i have a feeling that many of you will be surprised to learn that after nearly years it s time for me to say goodbye as your guide to entertaining,surprise
i wanted both but i feel greedy,anger
i also have started taking b and it works a charm my lashes are getting longer thicker and i feel that i dont need to coat so much mascara on or wear fake lashes as much as i did before yay,sadness
i always want nemo by my side and sleeping without her now feels weird even though it doesnt happen often that i get to,surprise
i cannot help but feel that my life is a series of not so unpleasant accidents stumbling about trying to do the right thing,sadness
i feel very blessed to be given the chance to do what i love,love
i seek the presence of people of conscience and i feel around me the optimism of youth with its stubborn refusal to accept a fate forced upon it,anger
i would just hurt others feelings i am so selfish,anger
i feel dirty if i dont,sadness
im talking about stored up hurts and pent up rage at the feelings of feeling not accepted insecure marginalized and not belonging anywhere,love
i think one asset that makes you guys stand out from other bands is that your musicianship especially on the latest record hits the next level and i feel this is why you are accepted in so many genres especially the hardcore scene,love
i i feel as though we were more successful here,joy
i was just wondering if that is common and why some girls feel the need to seem less intelligent than they really are,joy
i bit my lip as he slightly whispered this will feel weird tell me if i hurt you,surprise
i was okay with it but still little have feeling for that my brother was more amazed he like mihm but he wasn t going to get playing time,surprise
i am feeling i still should be caring and concerned,love
i feel invigorated as i am one,joy
i remember last summer feeling so overwhelmed,surprise
i may not feel hopeful and many days i do not but these truths i must call to mind the lord is my portion therefore i will hope in him,joy
im feeling a bit overwhelmed tonight and not really for any good reason,surprise
i just couldnt shake the feeling that he is being left out somehow and i sort of hated that i had done this to him,anger
i feel satisfied and not necessarily just forget the pain that she felt,joy
i feel surprised by my reaction because as a younger woman i always thought i would be a darling older woman,surprise
i feel so dazed a href http twitter,surprise
i feel im a largely unimportant person it really does mean a lot to me that people even consider coming here,sadness
i feel funny just calling it a film,surprise
i don t talk about it a lot but a majority of my time is spent at work and at work i m feeling generally unhappy lonely frustrated and even a little bitter from past events that just won t go away,sadness
i feel the loving presence of my parents daily even though they have both been physically dead for almost two decades now,love
i also feel that no one in the music school is really being very supportive of me on this,love
i spend time dating or attempting to date only to end up feeling confused,fear
i feel im back to being that bouncy little chickie i was when i first found the scene but with a lot more depth and understanding of myself and the world around me,joy
i was listening to belle and sebastian feeling agitated,fear
i got to feel something so amazing and powerful that made me feel an incredible sense of happiness and contentment that i did not believe existed,joy
i feel for the tender teenager who i fear may have developed a life long aversion to pie but i confess i tip my hat to julie s grandmother,love
id feel like a heartless bitch if i didnt share these with anybody,anger
ive been feeling miserable ever since i graduated high school,sadness
i still feel a little bit funny when i discover his fb damn it,surprise
i am feeling overwhelmed i want to physically shake everything off me the way i would if there was a spider in my shirt,surprise
i feel is manifesting in strange ways,fear
i open my eyes in the morning my heart feels empty,sadness
i am going to add some photos from today and again thank you all for your dear support when i was feeling overwhelmed at different moments,fear
i feel apprehensive about the ride ahead,fear
i would feel a violent stab of loneliness,anger
i feel that the perpetrator should be punished to the full extent of the law,sadness
i have this nagging feeling that i fucked everything up on the first try,anger
i feel compassionate toward myself and my bodys new limitations which i need to become accustomed to as time takes me further into middle age and aging,love
i feel very passionate about healthy life and people who want to lose weight and get fit,love
i get the feeling that i impressed ecker,surprise
i know that sounds really recycled and generic but its actually how i feel i love to sing and would more than love to make a living doing that but im going to school because i know that its not in the cards for all the talented people in the world to make it in the music business,joy
i always notice even though she is fabulous at hiding it according to the rest of the world and feel it keenly and am greatly distressed,fear
i always feel a bit anxious before i preceptor because i am still learning,fear
i feel rather sympathetic,love
i feel less groggy my trousers were a little looser and truthfully i would rather reach out for a fruit salad then a fully packed sandwich which is going to leave me feeling uncomfortable for the rest of the day,sadness
i just couldnt help feeling a little bit bitter towards his great big happy grin,anger
im still not sure why reilly feels the need to be so weird,fear
i feel so fond of him i want to squeeze him tightly and not unusually,love
i may feel uncomfortable or just want to give up,fear
i feel like a strange antisocial creature difficult for the cooperation,surprise
i feel lethargic and unmotivated in the mornings to wake up and blog or catch up on other things that i could do in the mornings so i can have my evenings free,sadness
i feel your gentle stare and feel your love,love
i feel like they are a second family and they all are so supportive and love little miss rylin,love
i feel that many people need to worry about their own families their own children and their own self because time is precious,joy
i try to breathe in when i feel frustrated and breathe out the calm that i desire,anger
i feel amused at the absurdity of it all,joy
ive never behaved like that in front of my husband and i feel a mixture of shame and relief that only the shedding of many tears and saying truthful but hurtful things can bring on,joy
i also feel a little selfish when i get excited about hitting it off with our friends friends because it makes me feel victorious in our choices,anger
i feel surprised when i looked new,surprise
i began feeling amorous towards everyone on stage towards the people around me as i experienced the moment with them,love
i was feeling very inspired to get some work done,joy
i think too much about how i sit how my voice sounds if i ve gotten any food on my mouth and the feeling that i need to make my way around to everyone so as not to be rude,anger
i am an infp a very strong introverted feeling person you could say i am passionately emotional about even the most insignificant of things,sadness
im feeling to what im watching and reading beware here be spoilers and music that im loving to listen to,love
i felt jealous when you i feel insecure when,fear
i also feel it is worth mentioning that makin it rain may be acceptable at a strip club but not at your local cineplex,joy
im feeling pressured because it is crunch time with looming deadlines once i hit the airport thursday i know ill be too busy to worry with the other items for a few days,fear
i am feeling a curious sense of relief a lightness that i never thought possible back when sex seemed to be the most desirable of desires and the ultimate act of self validation,surprise
i am not feeling horny im just letting baba see the emote,love
i always feel a little shy in those situations and then nervous that my shyness is making me seem aloof,fear
i went for the large double double along with a chocolate chip muffin i was feeling dangerous,anger
i set my mind to wanting a specific item needing it for a specific event or at a specific time i find ill end up spending more than i want to because i feel pressured by constraints,fear
i feel absolutely elegant in my white coat and now i have a cheaper version that i m not as worried about getting dirty,joy
i really want to write and still feel like ive not been useful that day,joy
i just hate to feel unhappy emotions,sadness
i am concerned that my gut feeling about not dropping aol that quickly about not trusting verizon was not just paranoia,joy
i picked up feeling a little apprehensive,fear
i let my fingers stroke across his chest to his heart marveling at the feel of him terrified that this is a step too far,fear
i enjoy feedback and love comments on my posts so please do not feel afraid,fear
i feel like i should say something but im shocked into silence,surprise
i love you and i feel so blessed to spend another year with you,love
i sure know where to come if i m feeling a little tender,love
i feel very romantic now all i have left to try out is barry m almond from the same range,love
ive been reading again and feeling pleasantly surprised to find my reading list contained four similar books a fine chance to compare and contrast differ,surprise
im happier when im feeling curious and genuinely looking forward to the next page alone in my reading chair next to the heater curled up in a blanket than when im muddling through guild wars or wot,surprise
i wake up in the morning and i have been having sexy dreams for i feel very horny and in need of a fuck,love
i am not sure if we should buy more but my hubby and i are feeling pretty impressed,surprise
i am feeling all romantic and stuff i take emily to the club to eat sam s club that is,love
im not feeling outgoing and am in no mood to put the game face on and smooch,joy
i feel supportive over chinas copyright violations if only for machiavellian reasons,love
im beginning to feel my way around the systems and im very impressed with the overall level of automation and control that goes into making memset what it is,surprise
i finally admit im feeling sorry for myself evar ok i finally admit im feeling sorry for myself if bc,sadness
i should not have shared my feelings with him but i was shocked by them too,surprise
im not down how do you feel about yourself train in vain describe your ex girlfriend boyfriend cool confusion describe your current girlfriend boyfriend whats my name,sadness
i did say she could but its just a bit annoying and it reminds me that im really unfit and that i have no determination and then i feel really poo and have even less determination so its all a bit of a vicious circle,anger
i was down feeling greedy and depressed,anger
i also feel vulnerable being left on the bed in virtual silence,fear
i feel slightly like a traitor admitting that i really liked the new place,love
i feel the echoes of the divine so very close,joy
i actually like having things clean but i like to have them messy first so i feel rebellious,anger
a group of youngsters dressed in fads talked foul language on a bus they also insulted the pedestrians on the road and were impolite to the passengers of the bus,anger
i don t feel like i am dissatisfied because i don t have things i think i am dissatisfied because not much is changing in me and i still feel bad at times,anger
i tend to feel a bit cranky when i ve gone for a few days without making art,anger
i feel more of a sense of longing than of loss,love
i really feel deprived,sadness
im excited to get home and spend time with everyone please feel free to email call or text and let me know if youre available for dinner or coffee or anything,joy
i feel the cold mostly in my arms and torso,anger
i just carry that feeling around that things are really rich,joy
i feel honored to have those books on my shelves,joy
i seem to wake up every day recently feeling immensely irritable and i cant quite work out why,anger
i feel the market is in a somewhat dangerous position for traders who end up on the wrong side right now,anger
i care very little about impressing people unless its a person who i feel deserves being impressed,surprise
i sit here just a few hours after seeing this fucking thing and swimming in post traumatic combat shock i am reminded that clich s flaws and feeling like a supporting character in your own movie are what often define our real lives and the world we live in,love
i feel that learning more about animals and the amazing things they can do just points to a wondrous creator,joy
i cope with being made to feel inadequate,sadness
i feel like washing and caring for the lunapads teaches a certain amount of appreciation for our things,love
i started to feel cold,anger
i feel scared and unsure and out of place,fear
i feel glad that the stress that went into making sterile sky from spending nine months in senegal writing non stopped to facing some initial rejections at home farafina and cassava republic rejected the manuscript and to burdening friends with the manuscript is not in vain after all,joy
i feel pride that i don t have to buy a roll of quarters from the bodega on the corner and this feeling is the only thing that keeps me from being irate that our laundry room is oddly devoid of coin changer machines,anger
i was left feeling slightly intimidated and overwhelmed,fear
i do i feel very impressed with the one who made the story,surprise
i feel contented staying grounded and take it slow as i build up the little things that comes my way,joy
i would not feel as shaken if i were appreciated for at least a tiny bit,fear
i wonder why people feel the need to make up stories to be amazed at the miracles around us every day,surprise
i feel strange pangs of loneliness or emptiness bubble up,surprise
i know like the recommendation function in modern web shops while it feels a little bit strange to see the product you ve just searched for in a web shop on a totally different site s advertising,fear
i feel overwhelmingly remorseful and guilty when i watch too much news or too many sad movies or television dramas,sadness
i feel like that nurse reluctant to know where to start but optimistic that we can do one thing to help,fear
i think i like how it feels more lively in the dorama,joy
i feel comfortable enough doing presentations in front of professors and students i am a performer so its somewhat like the same thing most of my experiences back in grade school were hard when it came to presenting because i wasnt into it or got made fun of,joy
i actually feel inside which is so dangerous because apart from my shoulder i feel really amazing,anger
i can get to the bottom of this feeling and not just berate myself for feeling dissatisfied,anger
ive been feeling more emotional now perhaps because the physical ailments are subsiding,sadness
i wish it was a more comforting feeling but instead it feels strange like living the memories of someone else or maybe having woken up from a long dream or a long sleep years and finding that the trees around you have grown taller,surprise
im feeling a little impressed at their creativity,surprise
i feel that chris is not too impressed with my stuff so naturally i hate myself and want on the next plane back to seattle as soon before the showcase as possible,surprise
i know it feels like youre dying when youre working out but the sweet refreshed feeling afterwards is all worth it,love
i often find myself feeling assaulted by a multitude of sense impressions,sadness
i have tried sometimes to spend time with them to make them feel less miserable in school and have usually had my offers thrown back in my face,sadness
i feel a bit foolish even bothering to post anything on fridays,sadness
i read through the ol feefyefo space i feel amazed at how much i could blabber and how transparent i was with my life,surprise
i have begun to feel really burdened for the women in our slums particularly my mamas in kina,sadness
i remember is the feeling of falling and miyavi s shocked face,surprise
i have myself a great tutor to teach me on magic cube and yesterday night i was feeling too thrilled when i finally managed to learn another new pattern to solve for magic cube signing off,joy
i feel crazily indecisive impulsive just in a,fear
i almost feel startled,fear
i do remember the feel of the book and being incredibly impressed with it and knowing that ill have to read it again,surprise
i have definitely felt the stirrings of spring and although i expect more winter weather in march i feel assured that the seasons are changing,joy
i recently had a very ill and premature baby what can i do to feel less devastated,sadness
i am quick to anger and lash out yet even quicker feel remorseful almost immediately,sadness
i feel that defeated feeling it moves on and i start hearing whisperings of hope and what if s,sadness
i still feel a bit stunned and i suppose i should be racked with regret and shame,surprise
im still not feeling these days but cuddling with them almost always makes me feel a little bit better,joy
i dunno i just feel that i started this blog a little shaky as i wasnt really sure about what sort of audience i was addressing or anything,fear
i usually doubt my self at this point as i feel i should be that amazing housewife who motors all day and has a list of things they can tell theyre husband they did all day while they were at work and i was at home,surprise
i don t like to feel embarrassed when my kids watch it,sadness
i feel so strange and sick i have to wake up in three hours seems like everything runs in threes now days t r e e s,surprise
i feel really bothered,anger
im feeling a bit nostalgic about this flashback friday entry because i realise how different things are today,love
i know i would feel weird about that and probably act strangely for a few days,surprise
i have some minor neuropathy going on in my fingers and my fingernails feel funny sensitive so that might mean that i could be losing them soon,surprise
i think about it i find myself still shaking my head in disbelief and feeling truly disgusted,anger
i will feel what i feel and tell you and together we will apologize and make up and keep loving each other to bits and bits,love
i feel the tug of the fabric against my thighs and butt i am overwhelmed with the feeling that i am just too fat,surprise
i feel really naughty and wicked today,love
i am feeling fairly uncertain about most things right this moment,fear
i feel so weird about it,surprise
i understand the feeling so i wouldnt be shocked,surprise
i told her i don t think she appreciates just how prevalent my feelings of unreality are that i see myself as damaged broken beyond repair and the thought of living another fifty years like this is unbearable that everything feels overwhelming,sadness
i am already feeling anxious then how is going off my anti anxiety medicine going to help me,fear
i feel can be even more dangerous though because when youre pouring all time into ministry it can be accompanied with self righteousness or self satisfaction,anger
i miss him and its nice to see him it does suck that when i do see him i always feel rushed,anger
i am sure the organisation themselves have the best of intentions though i disagree with them whole heartedly its just i get the feeling that some of the demostrators will be slightly hostile to students,anger
i definitely feel like hot stuff strutting down the road in it a href http,love
i feel more inspired to get back into the mindset of putting the good stuff into my body,joy
i am feeling less than glam at the moment to be reminded of our lovely nuptials last summer,love
im feeling distracted i tend to practice with my eyes shut as much as possible,anger
i hope you can feel the presence of loved ones right by your side cheering you on and wanting the best for you cos youre not on your own you never are d,love
i feel like i have to redeem myself even though i think they realized why i was distraught and were ok with it,fear
i left feeling very distressed,fear
im feeling ok to say il tough it out at the time it was pretty unpleasant,joy
i am not sure why in that moment that i thought i would be able to feel it hellip but it was pretty funny,surprise
i pleading to people and feeling distraught that they dont hear,fear
i feel very reluctant to have to walk through,fear
i still feel sleep deprived she is almost sleeping through the night giving us,sadness
i feel absolutely amazing,surprise
i feel amazed how this sh it things happened to me,surprise
i feel horrible having to say not right now so often,sadness
im fine mary anne answered feeling a little impatient,anger
i go to bed feeling triumphant,joy
i spent the first couple of days feeling a bit restless so i kept myself busy with cleaning and organizing etc,fear
i was flipping through my fifth grade yearbook feeling that sense of nostalgia that anyone would if they were looking at their innocent though year old self,joy
im feeling amazing because im answering these questions from new york so life is good,surprise
i can feel that the two girls are shocked with what i m saying,surprise
i just feel like being selfish and really live my life,anger
i discovered out what created my wife feel lovedi was shocked,surprise
i feel too overwhelmed to clean anything so i just let it all pile up until it makes my whole life feel like it is going to come crashing down around me and i am helpless to stop it,surprise
i tell people it feels like i am trying to convince people i am innocent but no one believes me,joy
i am feeling very inadequate about how to share my feelings and of how to write this blog post but i am going to give it a go and hope that it makes sense,sadness
i floated through the day with my head just below the surface feeling a little melancholy depressed and couldnt seem to bring it above the water,sadness
i still feel slightly strange with sorrow but i know its not something of god but of satan,surprise
i can remember i feel especially impressed to start fresh new and remove clutter,surprise
i feel like we had a connection but we ve struggled so much now we ve lost it and i feel so bad about that,sadness
im feeling a little apprehensive about tomorrows weigh in,fear
i feel too selfish to talk about you to anyone else thyroid for i do not want them to think i am just dramatic and whiny when really it is just hard for them to understand that yes someone can look fine and still feel terrible,anger
ive been idling away this past year i realize im feeling more and more doubtful of my path,fear
i go back to my village i feel i am really lonely,sadness
i m filled with astonishment and feel amused about what this city has witnesed today,joy
i feel like i had this bitchy undertone the whole convo like kinda sarcastic,anger
i sleep in a dreamy state waking up feeling dazed every now and then yet the cyber slut in me craves to creep up on here every evening,surprise
i always had a feeling of being in shape and became increasingly frustrated with the daily accumulation of body fat elusive,anger
i dont have the hatred for juice that i had last night at this time but im not feeling too fond of the veggie smell in my kitchen,love
im not necessarily sure what but something in the education system must change or students can feel anxiety and pressure with needing to be flawless with their vast knowledge of the world,joy
i dont watch a whole lot however when i do i turn off the tv and feel stunned,surprise
i have to admit that i feel a little irate as well but its under control,anger
i was feeling a little shaky and called it a day on the small bike,fear
ive got a feeling she will be just like her momma stubborn strong willed amp full of tx sassiness,anger
im feeling this little one move a lot now and im constantly surprised by his her little kicks,surprise
i feel rich indeed,joy
i know it s best to support low arches and the footbed of these feels supportive without feeling too high,love
i feel to have these amazing people in my life,surprise
im feeling a bit dazed and out of sorts like someone needs to poke me to really wake me up,surprise
i feel about politics and i have been very shocked at myself for going into this realm though i think that it is at this time the most important considering everything that has been going on in the world stage and in the usa,surprise
i feel really fucked up why do such things always happen to me,anger
i feel drained of energy,sadness
im going to let myself feel tender about it blog about it then let it go,love
i feel like this vile thing brooding gnawing deeper in spirit,anger
i feel an inner conflict between my sense of duty and my desire to play i hadn t entertained thoughts of sex,joy
i just tell you that the feeling of a skid is not pleasant,joy
i would talk to drake because i knew he wouldnt judge my feelings and he would let me gush over how much i liked you,love
i feel hopeful like things are going to be great and like things are great,joy
i am looking forward to getting baptized maybe but not until i feel devoted and broken in front of the lord,love
i im feeling rot im feeling rotten today i guess i forgot i am shot im not o,sadness
im feeling dull and bored,sadness
i feel the need to be distracted,anger
i feel tender just now and i am fine with that,love
im seventy ill desperately want to remember what happened to me every day in high school what classes were hard what teachers were mean who my friends were but it feels pretty unimportant now,sadness
i feel lame for pretty much only using my phone to take pictures like always now,sadness
i got off in my previous post about how much the app maker leeches upset me at this conference and so i feel like i should mention who i was most impressed with there,surprise
i am feeling a little overwhelmed but ive been given some amazing tools met some wonderfully creative fun and crazy people and was reminded that i have a voice that has been silent for too long,surprise
i already feel it is for the bursts and hesitations of last year to mellow into engaged and rhythmic hops forward like his,joy
i feel fighter move in me and i am amazed at the way he and my tummy is growing so quickly,surprise
i even feel weird living with lay people again,surprise
i felt a little bit of cramping and the same feelings i had been feeling for weeks so was not bothered by it,anger
i wanted to feel like i could depend on you and put in ur care and dare i say tender hands some of the things i hold dear u like a winter never seen in these lands became so cold,love
i started today feeling not terrible,sadness
i admire makes me feel amazed at my life,surprise
i just don t feel like having distraught parents breathing down my neck,fear
i hope that the next quote will be able to let my special someone knows what im feeling insecure about and understand that no matter how much i trust,fear
i remember consistently feeling dissatisfied with my progress,anger
i didnt need that reminder plus her words made me feel as if she saw me as pathetic,sadness
i feel strange with the judge passing sentence in such a manner,surprise
i just feel really pissed off actually and stressed,anger
i am just waking up with not nearly enough sleep and feeling dazed,surprise
i tried going raw vegan for two weeks and it made me feel awful,sadness
i always feel like i should look cute when i vote,joy
i feel like the supportive wife who does whatever he says and sits at home waiting for him to call with a plan of action,love
i can t wait to get it over with i m not feeling stressed but absolutely hating studying,sadness
i pay godaddy for the privellege of having a domain i feel im also supporting their efforts to get this bill that i vehemently oppose shoved through,love
im good at hiding my true feelings or blurting them out in sarcastic tones,anger
i do realize that this is a unique situation and is by no means representative of the majority of amazing birth moms out there who make hard decisions in the best interests of their children but i can t help but feel jaded by the experience,sadness
i was feeling like a pretty crappy mom,sadness
i sit in the middle of the most stinking the most crowded the noisiest railway platform or fish market and start reading it i will still feel as if im in the most pleasant place ever,joy
im still feeling a bit stunned by an experience i had tonight while watching a movie,surprise
ive left my job i feel a lot less stressed in general and i had a really good time just observing how much the kids enjoy the process of creating something new,sadness
i don t feel so fearless,joy
i feel really low,sadness
i apologise in advance i m feeling somewhat angered and stressed and the following is just going to have to come out,anger
im writing this blog post and feeling totally amazed at this wonderful life we lead,surprise
i feel in they talk the brother in law is extremely popular the one that had no me to think is so stiff,joy
i feel so uncertain all i did was crying over the phone saying i cant finish the reading,fear
i feel totally drained emotionally and physically the holy spirit never ceases to fill me up and speak to me,sadness
i feel like this because i start being naughty in order to validate my existance,love
i woke up feeling dazed and confused,surprise
i feel so unimportant today,sadness
i feel a strange connection to them a familiarity that most of the time i link to ancestral memory,surprise
i feel like i was convinced to spend the night alone it was not my choice i was wrongfully lead astray,joy
i feel rejected so i must not measure up,sadness
i was feeling amorous,love
i feel i begin to compare myself to others what an ugly and painful thing to do,sadness
i am feeling intimidated by all that work,fear
i dun feel blamed,sadness
i hate that colby wasnt feeling well that day but im very thankful that he is feeling better now,joy
i dont think that happens a lot so i feel insanely cranky when i couldnt get an ear immediately,anger
i actually prefer peep toe shoes because of it because then i wont notice that my shoes feel funny,surprise
i feel weird if i just do completely nothing,surprise
i have found both in my own life and from coaching hundreds of people during the past years that one of the main things that makes it hard for us to make good decisions is our feelings especially the unpleasant ones such as sadness rejection fear etc,sadness
i will actually feel comfortable speaking to others in just japanese i feel pretty happy about my current progress,joy
i also came away injury free and feeling amazing throughout the entire race,surprise
i care about someones emotional spiritual and intellectual progress to the point where i feel like i should exert myself in that progress and its important to me that is love,joy
i only feel frightened and these are such small things,fear
i feel strange and weird about this entire struggle am i the only one who deals with this kind of conflict,fear
i was feeling optimistic and actually ran the first couple miles at probably a pace,joy
i feel a gentle tap on my shoulder,love
i don t know how sasha fierce feels i m definitely curious about the future of beyonc s sound,surprise
i feel too bitchy to do something like that to my family because theyre going through the same shit i am,anger
i left the property feeling insulted and found myself minutes later on main street an unsuspecting victim of some unknown enemy s next attack,anger
i feel like my life is not moving smoothly i immediately look around amp see if i can be at service while focusing on giving and supporting others,joy
i really don t feel all that bothered by the north london derby,anger
ill go because it warms my muscles and i always laugh in the midst of our quirky little inter generational exercise family and after six months im a regular which reminds me that ive accomplished the epic feat of no longer feeling in some way intimidated when i go to the gym,fear
i feel like i am very passionate about youtube and so id quite like to explain why i think youtube is the next best thing for entertainment,joy
i did feel bad for her because she did feel like she was getting pressured to get her cherry popped,sadness
i took away all the disappointed feeling all the paining i gave my heart to be heal by lord because he s the only one love who never betrayed never lose loyalty even i didn t loyal to him,love
i can t help feeling jealous,anger
i would say that when they start they will feel really intimidated by the code and how vast everything is,fear
i feel so deeply shocked and saddened,surprise
i feel low just thinking about my motherland gives me a fresh boost of energy,sadness
i feel really vulnerable with him i tell him too much im too honest and i hate it,fear
i have not done any hill training but am not feeling apprehensive about it at all,fear
i am a down to earth person and say what i feel very affectionate,love
i was talking to my district leader elder hill last night and was explaining to him some of my concerns such as not seeing the fruits of our efforts not having baptized anyone yet and just plain feeling like i have so many problems and weaknesses that its not even funny,surprise
i feel tortured by all this and im not quite sure how to handle it other then getting drunk non stop so as to not feel anything at all,fear
im not as low as my much dreaded lowests i have been feeling a zap and strain on fabulous in the last week,joy
i secretly feel unimportant anyways and as such find people to disrespect me which might explain why i lend this doucher my time my energy and my body and let his needs get met b my own,sadness
